Date/Time,Reader,Place,Card number,Room name,ID of tenant
9/3/2024 22:18,86014,G3 ENTRY TS,824891,,13
9/3/2024 22:17,86067,G4 ENTRY TS1,550123,Outside,230
9/3/2024 22:17,86067,G4 ENTRY TS1,539031,Outside,230
9/3/2024 22:17,86072,G2 ENTRY TS,832459,,13
9/3/2024 22:16,8D073,G1 ENTRY 1,808840,,91
9/3/2024 22:16,87071,G3 ENTRY 3Z,864977,,13
9/3/2024 22:16,86067,G4 ENTRY TS1,889935,,13
9/3/2024 22:16,86067,G4 ENTRY TS1,542762,Outside,230
9/3/2024 22:15,86111,G5 ENTRY TSZ,762476,,65
9/3/2024 22:14,86078,G3 ENTRY 3,769477,,65
9/3/2024 22:14,86067,G4 ENTRY TS1,547034,Outside,230
9/3/2024 22:13,86072,G2 ENTRY TS,531668,,169
9/3/2024 22:13,86008,G2 ENTRY1,541196,Outside,230
9/3/2024 22:13,86072,G2 ENTRY TS,541915,Outside,230
9/3/2024 22:13,86008,G2 ENTRY1,837670,,169
9/3/2024 22:13,86008,G2 ENTRY1,527110,Outside,230
9/3/2024 22:13,86078,G3 ENTRY 3,549563,Outside,230
9/3/2024 22:12,86008,G2 ENTRY1,812995,,13
9/3/2024 22:11,CB076,G1 ENTRY 3Z,807468,,14
9/3/2024 22:11,CB076,G1 ENTRY 3Z,802996,,169
9/3/2024 22:11,CB076,G1 ENTRY 3Z,802996,,169
9/3/2024 22:11,8D058,G1 ENTRY 3 QR,802996,via FR App.,169
9/3/2024 22:11,8D058,G1 ENTRY 3 QR,807468,via FR App.,14
9/3/2024 22:11,CB076,G1 ENTRY 3Z,802996,,169
9/3/2024 22:11,8D058,G1 ENTRY 3 QR,802996,via FR App.,169
9/3/2024 22:11,CB076,G1 ENTRY 3Z,802996,,169
9/3/2024 22:11,86078,G3 ENTRY 3,804074,,13
9/3/2024 22:10,86008,G2 ENTRY1,808840,,91
9/3/2024 22:10,86094,G3 ENTRY 3 QR,769522,via FR App.,65
9/3/2024 22:10,86094,G3 ENTRY 3 QR,769522,via FR App.,65
9/3/2024 22:10,87071,G3 ENTRY 3Z,769522,,65
9/3/2024 22:10,86008,G2 ENTRY1,840035,Outside,13
9/3/2024 22:09,86078,G3 ENTRY 3,549700,Outside,230
9/3/2024 22:08,8.00E+44,G5 ENTRY TS,541767,,13
9/3/2024 22:08,86078,G3 ENTRY 3,555209,Outside,230
9/3/2024 22:07,86094,G3 ENTRY 3 QR,549512,via FR App.,65
9/3/2024 22:07,86078,G3 ENTRY 3,756104,,65
9/3/2024 22:07,86008,G2 ENTRY1,840035,Outside,13
9/3/2024 22:06,86014,G3 ENTRY TS,848234,Outside,13
9/3/2024 22:06,86078,G3 ENTRY 3,516413,,13
9/3/2024 22:05,86008,G2 ENTRY1,807383,,13
9/3/2024 22:03,87071,G3 ENTRY 3Z,847399,,65
9/3/2024 22:03,86094,G3 ENTRY 3 QR,847399,via FR App.,65
9/3/2024 22:03,8D058,G1 ENTRY 3 QR,827018,via FR App.,13
9/3/2024 22:03,CB076,G1 ENTRY 3Z,827018,,13
9/3/2024 22:03,86094,G3 ENTRY 3 QR,771637,via FR App.,65
9/3/2024 22:03,86078,G3 ENTRY 3,771637,,65
9/3/2024 22:02,8B002,G2 ENTRY 1Z,883888,,65
9/3/2024 21:59,86078,G3 ENTRY 3,875435,,13
9/3/2024 21:59,8B002,G2 ENTRY 1Z,889789,,65
9/3/2024 21:59,87071,G3 ENTRY 3Z,806600,,13
9/3/2024 21:59,87071,G3 ENTRY 3Z,538067,Outside,230
9/3/2024 21:58,86005,G5 ENTRY 3,543763,Outside,169
9/3/2024 21:57,8B002,G2 ENTRY 1Z,504984,,169
9/3/2024 21:56,86078,G3 ENTRY 3,860304,,65
9/3/2024 21:55,87103,G3 ENTRY TSZ,534584,,65
9/3/2024 21:55,86078,G3 ENTRY 3,886997,,14
9/3/2024 21:52,86008,G2 ENTRY1,59706,,14
9/3/2024 21:52,86094,G3 ENTRY 3 QR,831869,via FR App.,65
9/3/2024 21:52,86008,G2 ENTRY1,549959,Outside,230
9/3/2024 21:52,8B002,G2 ENTRY 1Z,831687,,13
9/3/2024 21:51,86078,G3 ENTRY 3,556713,Outside,230
9/3/2024 21:50,86078,G3 ENTRY 3,828134,,13
9/3/2024 21:50,8D009,G1 ENTRY TS,555257,Outside,230
9/3/2024 21:50,86094,G3 ENTRY 3 QR,808443,via FR App.,13
9/3/2024 21:50,87071,G3 ENTRY 3Z,808443,,13
9/3/2024 21:50,86008,G2 ENTRY1,539588,Outside,230
9/3/2024 21:50,8D009,G1 ENTRY TS,555669,Outside,230
9/3/2024 21:50,8D009,G1 ENTRY TS,532305,Outside,230
9/3/2024 21:49,8D009,G1 ENTRY TS,533976,Outside,230
9/3/2024 21:49,8D009,G1 ENTRY TS,536106,Outside,230
9/3/2024 21:49,86078,G3 ENTRY 3,554862,Outside,230
9/3/2024 21:49,8B034,G2 ENTRY TSZ,529405,Outside,230
9/3/2024 21:48,86078,G3 ENTRY 3,810219,,13
9/3/2024 21:46,86008,G2 ENTRY1,535659,Outside,65
9/3/2024 21:46,86008,G2 ENTRY1,504090,Outside,230
9/3/2024 21:45,8B002,G2 ENTRY 1Z,533948,,65
9/3/2024 21:44,86111,G5 ENTRY TSZ,761143,,65
9/3/2024 21:42,86094,G3 ENTRY 3 QR,868352,via FR App.,65
9/3/2024 21:42,87071,G3 ENTRY 3Z,868352,,65
9/3/2024 21:41,86078,G3 ENTRY 3,549887,Outside,230
9/3/2024 21:41,86078,G3 ENTRY 3,536094,Outside,230
9/3/2024 21:41,8D073,G1 ENTRY 1,877562,,13
9/3/2024 21:41,86094,G3 ENTRY 3 QR,760326,via FR App.,65
9/3/2024 21:41,87071,G3 ENTRY 3Z,760326,,65
9/3/2024 21:40,86008,G2 ENTRY1,843391,,13
9/3/2024 21:40,86078,G3 ENTRY 3,530610,Outside,230
9/3/2024 21:39,86079,G5 ENTRY 3Z,510806,Outside,230
9/3/2024 21:39,86005,G5 ENTRY 3,510806,Outside,230
9/3/2024 21:38,86005,G5 ENTRY 3,760561,,65
9/3/2024 21:38,86021,G5 ENTRY 3 QR,768428,via FR App.,65
9/3/2024 21:38,86005,G5 ENTRY 3,768428,,65
9/3/2024 21:38,86021,G5 ENTRY 3 QR,538147,via FR App.,65
9/3/2024 21:38,86079,G5 ENTRY 3Z,538147,,65
9/3/2024 21:38,86005,G5 ENTRY 3,538147,,65
9/3/2024 21:36,8D073,G1 ENTRY 1,555255,Outside,230
9/3/2024 21:36,8D073,G1 ENTRY 1,532784,Outside,230
9/3/2024 21:36,8D073,G1 ENTRY 1,532782,Outside,230
9/3/2024 21:36,8D073,G1 ENTRY 1,907295,Outside,13
9/3/2024 21:35,86094,G3 ENTRY 3 QR,826425,via FR App.,65
9/3/2024 21:34,86094,G3 ENTRY 3 QR,769888,via FR App.,65
9/3/2024 21:34,87071,G3 ENTRY 3Z,769888,,65
9/3/2024 21:34,86005,G5 ENTRY 3,511093,Outside,230
9/3/2024 21:33,86078,G3 ENTRY 3,543347,Outside,230
9/3/2024 21:33,86094,G3 ENTRY 3 QR,510630,via FR App.,230
9/3/2024 21:33,87071,G3 ENTRY 3Z,510630,Outside,230
9/3/2024 21:33,86078,G3 ENTRY 3,505919,Outside,230
9/3/2024 21:33,86094,G3 ENTRY 3 QR,510630,via FR App.,230
9/3/2024 21:33,86094,G3 ENTRY 3 QR,510630,via FR App.,230
9/3/2024 21:33,87071,G3 ENTRY 3Z,510630,Outside,230
9/3/2024 21:32,86021,G5 ENTRY 3 QR,861791,via FR App.,65
9/3/2024 21:32,86079,G5 ENTRY 3Z,861791,,65
9/3/2024 21:32,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:32,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:32,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:31,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:31,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:31,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:31,86067,G4 ENTRY TS1,355956,,13
9/3/2024 21:30,86021,G5 ENTRY 3 QR,765245,via FR App.,65
9/3/2024 21:30,86079,G5 ENTRY 3Z,765245,,65
9/3/2024 21:30,86094,G3 ENTRY 3 QR,828084,via FR App.,65
9/3/2024 21:30,87071,G3 ENTRY 3Z,828084,,65
9/3/2024 21:30,86021,G5 ENTRY 3 QR,893094,via FR App.,65
9/3/2024 21:30,86005,G5 ENTRY 3,893094,,65
9/3/2024 21:29,86014,G3 ENTRY TS,832557,,13
9/3/2024 21:29,86005,G5 ENTRY 3,919900,,13
9/3/2024 21:29,86094,G3 ENTRY 3 QR,755367,via FR App.,65
9/3/2024 21:29,86078,G3 ENTRY 3,755367,,65
9/3/2024 21:28,87071,G3 ENTRY 3Z,916731,,65
9/3/2024 21:28,86078,G3 ENTRY 3,882443,,65
9/3/2024 21:28,86094,G3 ENTRY 3 QR,916731,via FR App.,65
9/3/2024 21:28,86008,G2 ENTRY1,507206,Outside,230
9/3/2024 21:28,86067,G4 ENTRY TS1,912056,,13
9/3/2024 21:27,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:27,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:27,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:27,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:27,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:27,87071,G3 ENTRY 3Z,802601,,13
9/3/2024 21:26,87103,G3 ENTRY TSZ,802601,,13
9/3/2024 21:26,8D073,G1 ENTRY 1,808840,,91
9/3/2024 21:26,86078,G3 ENTRY 3,542089,Outside,230
9/3/2024 21:24,86008,G2 ENTRY1,879302,,13
9/3/2024 21:24,86008,G2 ENTRY1,833019,,13
9/3/2024 21:23,86078,G3 ENTRY 3,530914,,13
9/3/2024 21:23,87071,G3 ENTRY 3Z,530914,,13
9/3/2024 21:22,86067,G4 ENTRY TS1,556429,Outside,230
9/3/2024 21:21,86005,G5 ENTRY 3,764791,,65
9/3/2024 21:21,86079,G5 ENTRY 3Z,519924,Outside,13
9/3/2024 21:21,86021,G5 ENTRY 3 QR,519924,via FR App.,13
9/3/2024 21:20,8.00E+44,G5 ENTRY TS,829343,,13
9/3/2024 21:18,86078,G3 ENTRY 3,884329,,65
9/3/2024 21:16,86078,G3 ENTRY 3,762509,,65
9/3/2024 21:16,86078,G3 ENTRY 3,836783,,65
9/3/2024 21:14,86094,G3 ENTRY 3 QR,759830,via FR App.,65
9/3/2024 21:14,87071,G3 ENTRY 3Z,759830,,65
9/3/2024 21:14,86021,G5 ENTRY 3 QR,547020,via FR App.,65
9/3/2024 21:14,86005,G5 ENTRY 3,547020,,65
9/3/2024 21:13,86008,G2 ENTRY1,919503,Outside,13
9/3/2024 21:13,86008,G2 ENTRY1,808840,,91
9/3/2024 21:12,86094,G3 ENTRY 3 QR,555746,via FR App.,65
9/3/2024 21:10,86078,G3 ENTRY 3,847382,,13
9/3/2024 21:10,86021,G5 ENTRY 3 QR,879088,via FR App.,13
9/3/2024 21:10,86005,G5 ENTRY 3,879088,Outside,13
9/3/2024 21:09,86008,G2 ENTRY1,898235,,13
9/3/2024 21:09,87071,G3 ENTRY 3Z,556892,,65
9/3/2024 21:09,86078,G3 ENTRY 3,556892,,65
9/3/2024 21:09,86078,G3 ENTRY 3,913791,,13
9/3/2024 21:08,8D073,G1 ENTRY 1,808840,,91
9/3/2024 21:08,86014,G3 ENTRY TS,756220,,65
9/3/2024 21:07,86088,G2 ENTRY TS QR,449848,Outside,13
9/3/2024 21:07,8.00E+60,G5 ENTRY TS QR,873095,,13
9/3/2024 21:07,86088,G2 ENTRY TS QR,450800,Outside,13
9/3/2024 21:06,86008,G2 ENTRY1,767016,,65
9/3/2024 21:06,86014,G3 ENTRY TS,516359,,13
9/3/2024 21:05,86021,G5 ENTRY 3 QR,702621,via FR App.,65
9/3/2024 21:05,86079,G5 ENTRY 3Z,702621,,65
9/3/2024 21:05,86005,G5 ENTRY 3,702621,,65
9/3/2024 21:05,86072,G2 ENTRY TS,760335,,65
9/3/2024 21:05,8.00E+44,G5 ENTRY TS,547034,Outside,230
9/3/2024 21:05,86072,G2 ENTRY TS,760335,,65
9/3/2024 21:05,8B034,G2 ENTRY TSZ,760335,,65
9/3/2024 21:04,86072,G2 ENTRY TS,811367,,13
9/3/2024 21:03,86094,G3 ENTRY 3 QR,864069,via FR App.,13
9/3/2024 21:03,87071,G3 ENTRY 3Z,864069,,13
9/3/2024 21:02,8D073,G1 ENTRY 1,555390,Outside,230
9/3/2024 21:01,CB076,G1 ENTRY 3Z,538067,Outside,230
9/3/2024 21:01,CB076,G1 ENTRY 3Z,538067,Outside,230
9/3/2024 21:00,CB076,G1 ENTRY 3Z,538067,Outside,230
9/3/2024 21:00,86078,G3 ENTRY 3,852770,,13
9/3/2024 21:00,86078,G3 ENTRY 3,538051,Outside,230
9/3/2024 20:58,86008,G2 ENTRY1,542001,Outside,230
9/3/2024 20:58,86008,G2 ENTRY1,557454,Outside,230
9/3/2024 20:58,86024,G2 ENTRY1 QR,899908,via FR App.,13
9/3/2024 20:58,86024,G2 ENTRY1 QR,899908,,13
9/3/2024 20:58,86024,G2 ENTRY1 QR,819074,via FR App.,65
9/3/2024 20:58,86024,G2 ENTRY1 QR,899908,via FR App.,13
9/3/2024 20:57,86024,G2 ENTRY1 QR,899908,via FR App.,13
9/3/2024 20:57,86024,G2 ENTRY1 QR,899908,via FR App.,13
9/3/2024 20:57,86072,G2 ENTRY TS,878904,,13
9/3/2024 20:57,86072,G2 ENTRY TS,873868,,13
9/3/2024 20:57,86005,G5 ENTRY 3,521999,Outside,230
9/3/2024 20:56,86021,G5 ENTRY 3 QR,710126,via FR App.,65
9/3/2024 20:56,8.00E+44,G5 ENTRY TS,822122,,13
9/3/2024 20:55,8.00E+44,G5 ENTRY TS,555354,,65
9/3/2024 20:55,86094,G3 ENTRY 3 QR,918705,via FR App.,13
9/3/2024 20:55,86094,G3 ENTRY 3 QR,918705,via FR App.,13
9/3/2024 20:55,86008,G2 ENTRY1,533854,Outside,230
9/3/2024 20:55,86008,G2 ENTRY1,539482,Outside,230
9/3/2024 20:52,86072,G2 ENTRY TS,844585,,13
9/3/2024 20:52,86021,G5 ENTRY 3 QR,758304,via FR App.,65
9/3/2024 20:52,86079,G5 ENTRY 3Z,758304,,65
9/3/2024 20:52,87071,G3 ENTRY 3Z,779628,Outside,169
9/3/2024 20:51,86005,G5 ENTRY 3,520483,,13
9/3/2024 20:50,86079,G5 ENTRY 3Z,520228,Outside,230
9/3/2024 20:50,86021,G5 ENTRY 3 QR,520228,via FR App.,230
9/3/2024 20:50,86005,G5 ENTRY 3,875442,,13
9/3/2024 20:50,86079,G5 ENTRY 3Z,897915,,13
9/3/2024 20:50,86078,G3 ENTRY 3,531741,Outside,13
9/3/2024 20:48,86105,G4 ENTRY TSZ,541993,,13
9/3/2024 20:48,86067,G4 ENTRY TS1,531702,,13
9/3/2024 20:48,86008,G2 ENTRY1,835966,,118
9/3/2024 20:48,86072,G2 ENTRY TS,556244,Outside,230
9/3/2024 20:48,86008,G2 ENTRY1,550581,Outside,230
9/3/2024 20:46,86005,G5 ENTRY 3,523027,Outside,230
9/3/2024 20:46,86008,G2 ENTRY1,519079,Outside,230
9/3/2024 20:45,86079,G5 ENTRY 3Z,556596,,13
9/3/2024 20:44,86094,G3 ENTRY 3 QR,554526,via FR App.,65
9/3/2024 20:44,87071,G3 ENTRY 3Z,554526,,65
9/3/2024 20:43,8D009,G1 ENTRY TS,547029,Outside,230
9/3/2024 20:43,86021,G5 ENTRY 3 QR,845654,via FR App.,13
9/3/2024 20:43,86005,G5 ENTRY 3,501119,Outside,230
9/3/2024 20:43,86079,G5 ENTRY 3Z,845654,Outside,13
9/3/2024 20:43,86094,G3 ENTRY 3 QR,764995,via FR App.,65
9/3/2024 20:43,87071,G3 ENTRY 3Z,764995,,65
9/3/2024 20:41,86078,G3 ENTRY 3,663544,,65
9/3/2024 20:41,8B034,G2 ENTRY TSZ,770392,,65
